id_discussion,title,link,score,answer_count,view_count,creation_date,tags,Category
70064666,Smart Contract Upgradeability in Avalanche Protocol,https://stackoverflow.com/questions/70064666/smart-contract-upgradeability-in-avalanche-protocol,0,1,88,2021/11/22 18:56,"blockchain, smartcontracts, avalanche",Adaptive
74652944,Brave Mobile Browser and Solana Wallet Adapter,https://stackoverflow.com/questions/74652944/brave-mobile-browser-and-solana-wallet-adapter,0,0,81,2022/12/2 16:41,"solana, solana-web3js",Adaptive
73874263,"Candy Machine Showing &#39;Your Price&#39; as undefined, Sugar Update not working",https://stackoverflow.com/questions/73874263/candy-machine-showing-your-price-as-undefined-sugar-update-not-working,0,0,80,2022/9/28 6:10,"solana, nft, metaplex, candy-machine, solana-cli",Adaptive
71290605,Polkadot how to use/modify Frontier in a parachain project with certain Substrate version - Rust Dependency management,https://stackoverflow.com/questions/71290605/polkadot-how-to-use-modify-frontier-in-a-parachain-project-with-certain-substrat,0,1,73,2022/2/28 12:30,"rust, dependency-management, polkadot",Adaptive
76612659,Substrate: How to perform Parachain Runtime Upgrade via Democracy using Chopsticks,https://stackoverflow.com/questions/76612659/substrate-how-to-perform-parachain-runtime-upgrade-via-democracy-using-chopstic,-1,2,68,2023/7/4 20:31,"blockchain, substrate, polkadot",Adaptive
75417999,How to update market data to existing SPL-token?,https://stackoverflow.com/questions/75417999/how-to-update-market-data-to-existing-spl-token,0,1,57,2023/2/11 11:51,"share, solana",Adaptive
73717829,Comos Hub - list of all market&#39;s and exchange&#39;s addresses,https://stackoverflow.com/questions/73717829/comos-hub-list-of-all-markets-and-exchanges-addresses,-2,1,56,2022/9/14 21:37,"blockchain, cryptocurrency, cosmos, cosmos-sdk",Adaptive
72919527,How can I make smart contract non-upgradeable,https://stackoverflow.com/questions/72919527/how-can-i-make-smart-contract-non-upgradeable,0,1,53,2022/7/9 14:51,"smartcontracts, nearprotocol, near",Adaptive
77140453,accountChange event not trigring when switch phantom wallet account,https://stackoverflow.com/questions/77140453/accountchange-event-not-trigring-when-switch-phantom-wallet-account,0,1,26,2023/9/20 16:03,"reactjs, solana, solana-web3js, phantom-wallet",Adaptive
73162669,How to update minted NFTs maxSupply to avoid &#39;none&quot;?,https://stackoverflow.com/questions/73162669/how-to-update-minted-nfts-maxsupply-to-avoid-none,1,1,232,2022/7/29 14:52,"solana, nft, metaplex","Adaptive, Preventive"
